v1.2.0_Initiation:True-Batch:10-LR:0.0001-Loss:0-Opti:0-Mom:(0.85, 0.95)_
https://app.neptune.ai/joao.d.oliveira/computer-vision-runs/e/COM1-33
Epoch:    1, Batch:  340, Cur. Loss: 0.35596, Avg. Loss: 0.34658 val-loss: 0.496(MAE) 0.188(MAE-Smooth) 0.395(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.32397, Avg. Loss: 0.28904 val-loss: 0.231(MAE) 0.052(MAE-Smooth) 0.109(MSE)
Epoch:    3, Batch:  340, Cur. Loss: 0.18321, Avg. Loss: 0.22323 val-loss: 0.185(MAE) 0.036(MAE-Smooth) 0.073(MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.26725, Avg. Loss: 0.18279 val-loss: 0.182(MAE) 0.033(MAE-Smooth) 0.072(MSE)
Epoch:    5, Batch:  340, Cur. Loss: 0.15551, Avg. Loss: 0.16407 val-loss: 0.148(MAE) 0.025(MAE-Smooth) 0.053(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.14202, Avg. Loss: 0.14967 val-loss: 0.139(MAE) 0.024(MAE-Smooth) 0.053(MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.11894, Avg. Loss: 0.14121 val-loss: 0.135(MAE) 0.022(MAE-Smooth) 0.048(MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.13634, Avg. Loss: 0.13238 val-loss: 0.122(MAE) 0.019(MAE-Smooth) 0.042(MSE)
Epoch:    9, Batch:  340, Cur. Loss: 0.15793, Avg. Loss: 0.12222 val-loss: 0.114(MAE) 0.014(MAE-Smooth) 0.029(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.14054, Avg. Loss:   0.117 val-loss: 0.111(MAE) 0.018(MAE-Smooth) 0.046(MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.14456, Avg. Loss: 0.11029 val-loss: 0.1  (MAE) 0.014(MAE-Smooth) 0.03 (MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.09489, Avg. Loss: 0.10874 val-loss: 0.102(MAE) 0.015(MAE-Smooth) 0.034(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.12668, Avg. Loss: 0.10174 val-loss: 0.107(MAE) 0.014(MAE-Smooth) 0.028(MSE)
Epoch:   14, Batch:  340, Cur. Loss: 0.14843, Avg. Loss: 0.09819 val-loss: 0.095(MAE) 0.012(MAE-Smooth) 0.023(MSE)
