v1.3.0_Batch:10-LR:0.001-Loss:0-Opti:0-Mom:(0.8, 0.9)_
Epoch:    1, Batch:  340, Cur. Loss: 0.20922, Avg. Loss: 0.31691 val-loss: 0.252(MAE) 0.057(MAE-Smooth) 0.116(MSE)
Epoch:    2, Batch:  340, Cur. Loss: 0.20654, Avg. Loss: 0.23975 val-loss: 0.21 (MAE) 0.049(MAE-Smooth) 0.114(MSE)
Epoch:    3, Batch:  340, Cur. Loss: 0.22773, Avg. Loss: 0.20862 val-loss: 0.182(MAE) 0.034(MAE-Smooth) 0.069(MSE)
Epoch:    4, Batch:  340, Cur. Loss: 0.20999, Avg. Loss: 0.18435 val-loss: 0.199(MAE) 0.042(MAE-Smooth) 0.087(MSE)
Epoch:    5, Batch:  340, Cur. Loss: 0.14233, Avg. Loss: 0.16697 val-loss: 0.157(MAE) 0.03 (MAE-Smooth) 0.071(MSE)
Epoch:    6, Batch:  340, Cur. Loss: 0.09997, Avg. Loss: 0.15341 val-loss: 0.164(MAE) 0.031(MAE-Smooth) 0.068(MSE)
Epoch:    7, Batch:  340, Cur. Loss: 0.14422, Avg. Loss: 0.14377 val-loss: 0.131(MAE) 0.019(MAE-Smooth) 0.038(MSE)
Epoch:    8, Batch:  340, Cur. Loss: 0.14822, Avg. Loss: 0.13822 val-loss: 0.124(MAE) 0.018(MAE-Smooth) 0.038(MSE)
Epoch:    9, Batch:  340, Cur. Loss: 0.13613, Avg. Loss: 0.13362 val-loss: 0.126(MAE) 0.019(MAE-Smooth) 0.041(MSE)
Epoch:   10, Batch:  340, Cur. Loss: 0.09484, Avg. Loss: 0.12532 val-loss: 0.119(MAE) 0.018(MAE-Smooth) 0.04 (MSE)
Epoch:   11, Batch:  340, Cur. Loss: 0.09601, Avg. Loss:  0.1218 val-loss: 0.114(MAE) 0.015(MAE-Smooth) 0.031(MSE)
Epoch:   12, Batch:  340, Cur. Loss: 0.10697, Avg. Loss: 0.11606 val-loss: 0.109(MAE) 0.013(MAE-Smooth) 0.026(MSE)
Epoch:   13, Batch:  340, Cur. Loss: 0.12234, Avg. Loss: 0.11613 val-loss: 0.109(MAE) 0.016(MAE-Smooth) 0.036(MSE)
Epoch:   14, Batch:  340, Cur. Loss: 0.08502, Avg. Loss: 0.11285 val-loss: 0.104(MAE) 0.014(MAE-Smooth) 0.031(MSE)
Epoch:   15, Batch:  340, Cur. Loss: 0.11512, Avg. Loss: 0.10896 val-loss: 0.104(MAE) 0.015(MAE-Smooth) 0.032(MSE)
Epoch:   16, Batch:  340, Cur. Loss:  0.0724, Avg. Loss:  0.1057 val-loss: 0.1  (MAE) 0.013(MAE-Smooth) 0.033(MSE)
Epoch:   17, Batch:  340, Cur. Loss: 0.14499, Avg. Loss:  0.1079 val-loss: 0.107(MAE) 0.015(MAE-Smooth) 0.039(MSE)
Epoch:   18, Batch:  340, Cur. Loss: 0.10901, Avg. Loss: 0.10204 val-loss: 0.095(MAE) 0.011(MAE-Smooth) 0.022(MSE)
Epoch:   19, Batch:  340, Cur. Loss: 0.11726, Avg. Loss: 0.10139 val-loss: 0.101(MAE) 0.015(MAE-Smooth) 0.041(MSE)
Epoch:   20, Batch:  340, Cur. Loss: 0.08709, Avg. Loss: 0.09838 val-loss: 0.091(MAE) 0.009(MAE-Smooth) 0.018(MSE)
Epoch:   21, Batch:  340, Cur. Loss: 0.11744, Avg. Loss: 0.09858 val-loss: 0.102(MAE) 0.013(MAE-Smooth) 0.028(MSE)
Epoch:   22, Batch:  340, Cur. Loss: 0.11278, Avg. Loss: 0.09893 val-loss: 0.09 (MAE) 0.01 (MAE-Smooth) 0.022(MSE)
Epoch:   23, Batch:  340, Cur. Loss:  0.1003, Avg. Loss: 0.09475 val-loss: 0.094(MAE) 0.01 (MAE-Smooth) 0.022(MSE)
Epoch:   24, Batch:  340, Cur. Loss: 0.07724, Avg. Loss: 0.09557 val-loss: 0.099(MAE) 0.013(MAE-Smooth) 0.038(MSE)
Epoch:   25, Batch:  340, Cur. Loss: 0.10567, Avg. Loss:  0.0955 val-loss: 0.096(MAE) 0.013(MAE-Smooth) 0.036(MSE)
Epoch:   26, Batch:  340, Cur. Loss: 0.09802, Avg. Loss: 0.09314 val-loss: 0.098(MAE) 0.014(MAE-Smooth) 0.034(MSE)
Epoch:   27, Batch:  340, Cur. Loss: 0.09138, Avg. Loss: 0.09478 val-loss: 0.092(MAE) 0.012(MAE-Smooth) 0.03 (MSE)
Epoch:   28, Batch:  340, Cur. Loss: 0.08609, Avg. Loss: 0.09221 val-loss: 0.093(MAE) 0.011(MAE-Smooth) 0.024(MSE)
Epoch:   29, Batch:  340, Cur. Loss: 0.09007, Avg. Loss: 0.09159 val-loss: 0.094(MAE) 0.011(MAE-Smooth) 0.026(MSE)
Epoch:   30, Batch:  340, Cur. Loss: 0.09823, Avg. Loss: 0.09059 val-loss: 0.089(MAE) 0.011(MAE-Smooth) 0.024(MSE)
Epoch:   31, Batch:  340, Cur. Loss: 0.07053, Avg. Loss: 0.09005 val-loss: 0.09 (MAE) 0.01 (MAE-Smooth) 0.029(MSE)
Epoch:   32, Batch:  340, Cur. Loss: 0.07122, Avg. Loss: 0.08949 val-loss: 0.088(MAE) 0.01 (MAE-Smooth) 0.022(MSE)
Epoch:   33, Batch:  340, Cur. Loss: 0.07167, Avg. Loss: 0.08887 val-loss: 0.09 (MAE) 0.013(MAE-Smooth) 0.032(MSE)
Epoch:   34, Batch:  340, Cur. Loss:  0.0889, Avg. Loss: 0.08951 val-loss: 0.091(MAE) 0.011(MAE-Smooth) 0.031(MSE)
Epoch:   35, Batch:  340, Cur. Loss: 0.07089, Avg. Loss: 0.08914 val-loss: 0.08 (MAE) 0.007(MAE-Smooth) 0.015(MSE)
